slug,decoded_slug,primary_business_name,primary_platform,enterprise_active,hydreight_active,both_active,enterprise_business_name,hydreight_business_name,enterprise_status,hydreight_status,enterprise_page_title,hydreight_page_title,enterprise_url,hydreight_url,tested_at
MTI0,124,BioXcellerator San Diego,Hydreight,False,True,False,,BioXcellerator San Diego,ERROR_PAGE,ACTIVE,undefined,BioXcellerator San Diego,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTI0,https://booking.hydreight.com/b/MTI0,2025-06-28T11:14:51.197534
MTYzMg==,1632,IV HYDRATION + WEST GEORGIA,Hydreight,False,True,False,,IV HYDRATION + WEST GEORGIA,ERROR_PAGE,ACTIVE,undefined,IV HYDRATION + WEST GEORGIA,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTYzMg==,https://booking.hydreight.com/b/MTYzMg==,2025-06-29T19:53:56.425619
MTYzMw==,1633,Angela McQuade,Hydreight,False,True,False,,Angela McQuade,ERROR_PAGE,ACTIVE,undefined,Angela McQuade,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTYzMw==,https://booking.hydreight.com/b/MTYzMw==,2025-06-29T19:54:11.407872
MTYzNA==,1634,All In Drips LLC,Hydreight,False,True,False,,All In Drips LLC,ERROR_PAGE,ACTIVE,undefined,All In Drips LLC,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTYzNA==,https://booking.hydreight.com/b/MTYzNA==,2025-06-29T19:54:33.211207
MTYzNQ==,1635,27business,Hydreight,False,True,False,,27business,ERROR_PAGE,ACTIVE,undefined,27business,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTYzNQ==,https://booking.hydreight.com/b/MTYzNQ==,2025-06-29T19:54:50.613939
MTYzOA==,1638,Nurse Rescue IV Hydration and More LLC,Hydreight,False,True,False,,Nurse Rescue IV Hydration and More LLC,ERROR_PAGE,ACTIVE,undefined,Nurse Rescue IV Hydration and More LLC,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTYzOA==,https://booking.hydreight.com/b/MTYzOA==,2025-06-29T19:55:29.798202
MTYzOQ==,1639,Brielle Marten,Hydreight,False,True,False,,Brielle Marten,ERROR_PAGE,ACTIVE,undefined,Brielle Marten,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTYzOQ==,https://booking.hydreight.com/b/MTYzOQ==,2025-06-29T19:55:46.182049
MTY0NA==,1644,Semaglutide Subscription,Hydreight,False,True,False,,Semaglutide Subscription,ERROR_PAGE,ACTIVE,undefined,Semaglutide Subscription,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTY0NA==,https://booking.hydreight.com/b/MTY0NA==,2025-06-29T19:56:57.054255
MTY0NQ==,1645,Test Dharmi,Hydreight,False,True,False,,Test Dharmi,ERROR_PAGE,ACTIVE,undefined,Test Dharmi,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTY0NQ==,https://booking.hydreight.com/b/MTY0NQ==,2025-06-29T19:57:09.690985
MTY0Ng==,1646,Vita Drip & Wellness,Hydreight,False,True,False,,Vita Drip & Wellness,ERROR_PAGE,ACTIVE,undefined,Vita Drip & Wellness,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTY0Ng==,https://booking.hydreight.com/b/MTY0Ng==,2025-06-29T19:57:20.941136
MTY1MQ==,1651,Katheryn Smith,Hydreight,False,True,False,,Katheryn Smith,ERROR_PAGE,ACTIVE,undefined,Katheryn Smith,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTY1MQ==,https://booking.hydreight.com/b/MTY1MQ==,2025-06-29T19:58:33.848331
