slug,number,business_name,platform,status,page_title,url,final_url,load_time,tested_at
MjE1MA==,2150,Wild Rose Rejuvenation,Hydreight,ACTIVE,Wild Rose Rejuvenation,https://booking.hydreight.com/b/MjE1MA==,https://booking.hydreight.com/widget-business/pl41e,8.490458965301514,2025-06-29T23:00:09.684619
MjE1MQ==,2151,HiVybe Hydration & Wellness,Hydreight,ACTIVE,HiVybe Hydration & Wellness,https://booking.hydreight.com/b/MjE1MQ==,https://booking.hydreight.com/widget-business/dt02t,5.28476095199585,2025-06-29T23:00:22.733210
MjE1Mg==,2152,Revivalyze,Hydreight,ACTIVE,Revivalyze,https://booking.hydreight.com/b/MjE1Mg==,https://booking.hydreight.com/widget-business/ez23b,6.239246129989624,2025-06-29T23:00:37.242584
MjE1NA==,2154,Rejuvin8 IV,Hydreight,ACTIVE,Rejuvin8 IV,https://booking.hydreight.com/b/MjE1NA==,https://booking.hydreight.com/widget-business/uf13n,8.77980637550354,2025-06-29T23:01:14.459995
MjE1NQ==,2155,Tiffany Wanke,Hydreight,ACTIVE,Tiffany Wanke,https://booking.hydreight.com/b/MjE1NQ==,https://booking.hydreight.com/widget-business/li34k,8.495580911636353,2025-06-29T23:01:32.993920
MjE1Ng==,2156,REVIVE HAWAII Mobile IV,Hydreight,ACTIVE,REVIVE HAWAII Mobile IV,https://booking.hydreight.com/b/MjE1Ng==,https://booking.hydreight.com/widget-business/oq48w,8.023967027664185,2025-06-29T23:01:46.404420
MjE1Nw==,2157,RevIVe & Regenesis Health Spa,Hydreight,ACTIVE,RevIVe & Regenesis Health Spa,https://booking.hydreight.com/b/MjE1Nw==,https://booking.hydreight.com/widget-business/sp35m,7.110895872116089,2025-06-29T23:02:00.566923
MjE1OA==,2158,Exclusive Wellness,Hydreight,ACTIVE,Exclusive Wellness,https://booking.hydreight.com/b/MjE1OA==,https://booking.hydreight.com/widget-business/pg86e,8.627321243286133,2025-06-29T23:02:22.598845
MjE1OQ==,2159,KSP IV Infusion and Nutrtion,Hydreight,ACTIVE,KSP IV Infusion and Nutrtion,https://booking.hydreight.com/b/MjE1OQ==,https://booking.hydreight.com/widget-business/pq19e,6.012834072113037,2025-06-29T23:02:36.089871
MjE2MA==,2160,Danielle Cooper/Sacred Hydration,Hydreight,ACTIVE,Danielle Cooper/Sacred Hydration,https://booking.hydreight.com/b/MjE2MA==,https://booking.hydreight.com/widget-business/ot88n,6.474307060241699,2025-06-29T23:02:51.131322
MjE2MQ==,2161,Replenish and Revive,Hydreight,ACTIVE,Replenish and Revive,https://booking.hydreight.com/b/MjE2MQ==,https://booking.hydreight.com/widget-business/fh58n,5.909465074539185,2025-06-29T23:03:02.443308
MjE2Mg==,2162,"Shriya,RN",Hydreight,ACTIVE,"Shriya,RN",https://booking.hydreight.com/b/MjE2Mg==,https://booking.hydreight.com/widget-business/ju67m,5.989211797714233,2025-06-29T23:03:14.048292
MjE2Mw==,2163,Crown IV and Wellness,Hydreight,ACTIVE,Crown IV and Wellness,https://booking.hydreight.com/b/MjE2Mw==,https://booking.hydreight.com/widget-business/um26u,6.152515172958374,2025-06-29T23:03:32.960931
