slug,status,business_name,tested_method,last_tested,url,redirects_to,content_length,business_indicators,services,description
ad31y,ACTIVE,The DRIPBaR Direct - Sebring (FL),Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ad31y,,,,,Known active business
tc33l,ACTIVE,Altura Health (TX),Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/tc33l,,,,,Known active business
mj42f,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/mj42f,,,,,Known active business
os27m,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/os27m,,,,,Known active business
lp56a,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/lp56a,,,,,Known active business
zb74k,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zb74k,,,,,Known active business
ym99l,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ym99l,,,,,Known active business
yh52b,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/yh52b,,,,,Known active business
zd20w,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/zd20w,,,,,Known active business
td32z,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/td32z,,,,,Known active business
bo19e,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bo19e,,,,,Known active business
bh70s,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bh70s,,,,,Known active business
ai04u,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ai04u,,,,,Known active business
bm49t,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bm49t,,,,,Known active business
qu29u,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/qu29u,,,,,Known active business
ac19z,INACTIVE_401,,API_HTTP_This_Laptop,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ac19z,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ad49t,INACTIVE_401,,API_HTTP_This_Laptop,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ad49t,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ah41a,INACTIVE_401,,API_HTTP_This_Laptop,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ah41a,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
an32l,INACTIVE_401,,API_HTTP_This_Laptop,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/an32l,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ao09l,INACTIVE_401,,API_HTTP_This_Laptop,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ao09l,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
