slug,slug_number,original_url,final_url,page_title,business_name,business_type,location_info,contact_info,services,specializations,redirect_info,widget_business_slug,is_ready,readiness_issues,confidence_score,business_indicators,error_indicators,content_quality,load_time,content_length,page_structure,collected_at,error_type,error_message
MTA,10,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTA,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,undefined,,IV Therapy/Wellness,,{'phones': ['2147483647']},,,Redirects to generic widget,,False,"['Missing or invalid page title', 'Redirects to generic widget instead of specific business', 'Contains error indicators']",0.8,1,2,Medium,4.68,31648,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'script_count': 7, 'style_count': 10}",2025-06-22T12:14:16.707875,,
MzY1,365,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY1,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY1,,,IV Therapy/Wellness,,{'phones': ['2147483647']},,,No redirect,,False,"['Missing or invalid page title', 'Contains error indicators']",0.3,0,2,Low,2.16,33649,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'script_count': 6, 'style_count': 11}",2025-06-22T12:14:19.082628,,
MzY2,366,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY2,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/s2q7x,,,IV Therapy/Wellness,,{'phones': ['2147483647']},,,Redirects to widget-business: s2q7x,s2q7x,False,"['Missing or invalid page title', 'Contains error indicators']",0.3,0,2,Low,2.28,31779,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'script_count': 12, 'style_count': 10}",2025-06-22T12:14:21.574326,,
MzY4,368,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY4,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY4,Test SP,Test SP,IV Therapy/Wellness,,{'phones': ['2147483647']},,,No redirect,,False,['Contains error indicators'],0.6,0,2,Medium,1.85,33656,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'script_count': 6, 'style_count': 11}",2025-06-22T12:14:23.633311,,
MzYw,360,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzYw,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzYw,Test SP,Test SP,IV Therapy/Wellness,,{'phones': ['2147483647']},,,No redirect,,False,['Contains error indicators'],0.6,0,2,Medium,2.09,33656,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'script_count': 6, 'style_count': 11}",2025-06-22T12:14:25.934812,,
MzYy,362,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzYy,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget/401,,,IV Therapy/Wellness,,{'phones': ['2147483647']},,,Redirects to generic widget,,False,"['Missing or invalid page title', 'Insufficient content length', 'Redirects to generic widget instead of specific business', 'Contains error indicators']",0.1,0,2,Low,6.07,27089,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'script_count': 7, 'style_count': 10}",2025-06-22T12:14:32.222818,,
MzYz,363,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzYz,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/52546,VSDH One - Kshitij test,VSDH One - Kshitij test,IV Therapy/Wellness,,{'phones': ['2147483647']},,,Redirects to widget-business: 52546,52546,True,['Contains error indicators'],0.8,1,2,Medium,2.73,31455,"{'has_forms': True, 'has_booking': False, 'has_services': True, 'has_pricing': False, 'script_count': 12, 'style_count': 10}",2025-06-22T12:14:35.167788,,
Mzcw,370,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mzcw,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/745yc,,,IV Therapy/Wellness,,{'phones': ['2147483647']},,,Redirects to widget-business: 745yc,745yc,False,"['Missing or invalid page title', 'Contains error indicators']",0.5,1,2,Low,2.08,32421,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'script_count': 11, 'style_count': 10}",2025-06-22T12:14:37.460762,,
Mzcx,371,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mzcx,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,Akshay Health Center,Akshay Health Center,IV Therapy/Wellness,,{'phones': ['2147483647']},['health'],,Redirects to generic widget,,False,"['Redirects to generic widget instead of specific business', 'Contains error indicators']",0.6,1,2,Medium,3.1,30822,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'script_count': 13, 'style_count': 10}",2025-06-22T12:14:40.778894,,
NDAw,400,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDAw,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDAw,Akshay Health Center,Akshay Health Center,IV Therapy/Wellness,,{'phones': ['2147483647']},['health'],,No redirect,,False,['Contains error indicators'],0.6,1,2,Medium,1.85,33673,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'script_count': 6, 'style_count': 11}",2025-06-22T12:14:42.838593,,
