slug,slug_number,original_url,final_url,page_title,business_name,business_type,location_info,contact_info,services,specializations,business_description,operating_hours,pricing_info,redirect_info,widget_business_slug,page_structure,meta_data,business_indicators,error_indicators,content_quality,social_media,images_count,load_time,content_length,collected_at,error_type,error_message
MTA,10,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTA,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,undefined,,IV Therapy/Wellness,"['78038', '10337', '92666', '67264', '83647', '04762', '99595', '03836', '89931', '45105']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://vsdigitalprod.blob.core.windows.net/vsdigital']}",,,,,,Redirects to generic widget,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': True, 'has_location': False, 'script_count': 7, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",1,2,Medium,,2,7.88,31648,2025-06-22T12:39:09.547291,,
MzY1,365,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY1,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/s2q7x,Test SP,Test SP,IV Therapy/Wellness,"['99997', '92666', '56944', '04762', '99595', '45535', '66664', '71689', '82440', '88605']","{'phones': ['2147483647', '7093502767'], 'websites': ['http://www.w3.org/2000/svg', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://wsrv.nl/?url=null&amp', 'https://www.googletagmanager.com/gtag/js?id=G']}","['medical', 'health']",,,,,Redirects to widget-business: s2q7x,s2q7x,"{'has_forms': True, 'has_booking': True, 'has_services': True, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 12, 'style_count': 10, 'image_count': 4, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",4,2,Medium,,4,5.97,45430,2025-06-22T12:39:18.685539,,
MzY2,366,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY2,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/s2q7x,Test SP,Test SP,IV Therapy/Wellness,"['99997', '92666', '56944', '04762', '99595', '45535', '66664', '71689', '82440', '88605']","{'phones': ['2147483647', '7093502767'], 'websites': ['http://www.w3.org/2000/svg', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://wsrv.nl/?url=null&amp', 'https://www.googletagmanager.com/gtag/js?id=G']}","['medical', 'health']",,,,,Redirects to widget-business: s2q7x,s2q7x,"{'has_forms': True, 'has_booking': True, 'has_services': True, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 12, 'style_count': 10, 'image_count': 4, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",4,2,Medium,,4,5.27,45430,2025-06-22T12:39:26.804823,,
MzY4,368,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY4,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY4?cb=1750567167029,Precision Telemed,Precision Telemed,IV Therapy/Wellness,"['99997', '92666', '56944', '33323', '04762', '99595', '66664', '08724', '71689', '82440']","{'phones': ['8137251555', '2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=https', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}","['weight loss', 'treatment', 'therapy', 'medical']",,,,,Redirects to: https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY4?cb=1750567167029,,"{'has_forms': True, 'has_booking': True, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 10, 'image_count': 2, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",5,2,Medium,,2,5.08,34312,2025-06-22T12:39:34.052727,,
MzYw,360,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzYw,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget/401,,,IV Therapy/Wellness,"['10337', '92666', '67264', '83647', '04762', '99595', '03836', '54410', '45105', '71689']","{'phones': ['2147483647'], 'websites': ['https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://cdn.logr-ingest.com/logger']}",,,,,,Redirects to generic widget,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 7, 'style_count': 10, 'image_count': 0, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,6.86,27112,2025-06-22T12:39:43.452609,,
MzYy,362,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzYy,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget/401,,,IV Therapy/Wellness,"['10337', '92666', '67264', '83647', '04762', '99595', '03836', '54410', '45105', '71689']","{'phones': ['2147483647'], 'websites': ['https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://cdn.logr-ingest.com/logger']}",,,,,,Redirects to generic widget,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 7, 'style_count': 10, 'image_count': 0, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,8.56,27112,2025-06-22T12:39:55.070098,,
MzYz,363,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzYz,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/52546,VSDH One - Kshitij test,VSDH One - Kshitij test,IV Therapy/Wellness,"['10337', '92666', '67264', '83647', '04762', '99595', '03836', '89931', '45105', '54410']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://wsrv.nl/?url=null&amp', 'https://www.googletagmanager.com/gtag/js?id=G']}",['semaglutide'],,,,['$26.00'],Redirects to widget-business: 52546,52546,"{'has_forms': True, 'has_booking': False, 'has_services': True, 'has_pricing': True, 'has_contact': False, 'has_location': False, 'script_count': 12, 'style_count': 10, 'image_count': 4, 'link_count': 1}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",1,2,Medium,,4,5.91,31853,2025-06-22T12:40:03.504437,,
Mzcw,370,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mzcw,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/745yc,,,IV Therapy/Wellness,"['78038', '10337', '92666', '67264', '83647', '04762', '99595', '03836', '89931', '45105']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}",,,,,,Redirects to widget-business: 745yc,745yc,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': True, 'has_location': False, 'script_count': 11, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",1,2,Low,,2,7.52,32421,2025-06-22T12:40:13.844345,,
Mzcx,371,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mzcx,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,Akshay Health Center,Akshay Health Center,IV Therapy/Wellness,"['78038', '10337', '92666', '67264', '83647', '04762', '99595', '03836', '89931', '45105']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://wsrv.nl/?url=null&amp', 'https://www.googletagmanager.com/gtag/js?id=G']}",['health'],,,,,Redirects to generic widget,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': True, 'has_location': False, 'script_count': 13, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",2,2,Medium,,2,5.95,32194,2025-06-22T12:40:22.586359,,
NDAw,400,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDAw,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,,,IV Therapy/Wellness,"['78038', '10337', '92666', '67264', '83647', '04762', '99595', '03836', '89931', '45105']","{'phones': ['2147483647'], 'websites': ['http://www.w3.org/2000/svg', 'https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com/assets/embed.js']}",,,,,,Redirects to generic widget,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': True, 'has_location': False, 'script_count': 7, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",1,2,Low,,2,5.89,31630,2025-06-22T12:40:30.604963,,
