slug,url,final_url,status,classification,business_name,business_indicators,error_indicators,indicators_found,error_indicators_found,page_title,content_length,load_time,content_preview,tested_at
NzAw,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzAw,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzAw,ACTIVE,ACTIVE_BUSINESS,Test Akshay Parent Business,1,1,['select'],['error'],Test Akshay Parent Business,32745,5.538753032684326,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title>test akshay parent business</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""s",2025-06-22T11:44:40.960826
NzAx,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzAx,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzAx,ACTIVE,ACTIVE_BUSINESS,Parentbsn,1,1,['select'],['error'],Parentbsn,34017,3.075772285461426,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title>parentbsn</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""h",2025-06-22T11:44:44.139543
NzAy,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzAy,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/dwzsf,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,1,['select'],['error'],,26918,2.7161099910736084,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",2025-06-22T11:44:46.960919
NzAz,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzAz,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/dwzsf,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,32421,3.347407102584839,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",2025-06-22T11:44:50.411704
NzA0,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzA0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bm18n,ACTIVE,ACTIVE_BUSINESS,The Covery - GA,1,1,['select'],['error'],The Covery - GA,26939,2.6356117725372314,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title>the covery - ga</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" h",2025-06-22T11:44:53.149725
NzA1,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzA1,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bm18n,ACTIVE,ACTIVE_BUSINESS,The Covery - GA,6,1,"['service', 'therapy', 'select', 'injection', 'semaglutide', 'tirzepatide']",['error'],The Covery - GA,40835,6.9308061599731445,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title>the covery - ga</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" h",2025-06-22T11:45:00.183947
NzA2,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzA2,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzA2,ACTIVE,ACTIVE_BUSINESS,The DRIPBaR Direct - Location,2,1,"['select', 'dripbar']",['error'],The DRIPBaR Direct - Mt. Pleasant,35662,2.3988850116729736,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title>the dripbar direct - mt. pleasant</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link ",2025-06-22T11:45:02.685859
NzA3,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzA3,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ib96k,ACTIVE,ACTIVE_BUSINESS,The DRIPBaR Direct - Location,5,1,"['book', 'service', 'booking', 'select', 'dripbar']",['error'],The DRIPBaR Direct - Austin the Domain,30969,2.7875728607177734,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title>the dripbar direct - austin the domain</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><",2025-06-22T11:45:05.579066
NzA4,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzA4,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ib96k,ACTIVE,ACTIVE_BUSINESS,The DRIPBaR Direct - Location,10,1,"['book', 'service', 'therapy', 'booking', 'select', 'weight loss', 'injection', 'dripbar', 'semaglutide', 'tirzepatide']",['error'],The DRIPBaR Direct - Austin the Domain,57006,6.1804039478302,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title>the dripbar direct - austin the domain</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><",2025-06-22T11:45:11.862778
NzA5,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzA5,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NzA5,ACTIVE,ACTIVE_BUSINESS,The DRIPBaR Direct - Location,2,1,"['select', 'dripbar']",['error'],The DRIPBaR Direct - Tampa/Clearwater,35810,2.678184986114502,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title>the dripbar direct - tampa/clearwater</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><l",2025-06-22T11:45:14.646887
