slug,status,business_name,tested_method,last_tested,url,redirects_to,content_length,business_indicators,services,description
ac19z,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ac19z,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ad31y,ACTIVE,The DRIPBaR Direct - Sebring (FL),Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ad31y,,,,,
ad49t,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ad49t,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ah41a,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ah41a,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ai04u,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ai04u,,,,,
an32l,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/an32l,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ao09l,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ao09l,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ao30j,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ao30j,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ap12l,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ap12l,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ap24l,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ap24l,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ap39b,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ap39b,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ap93l,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ap93l,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
au00k,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/au00k,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
az97l,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/az97l,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ba22b,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ba22b,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
ba29u,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/ba29u,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
bb49m,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bb49m,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
bg92b,INACTIVE_401,,API_HTTP,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bg92b,/widget/401,7537,0,,Returns identical React SPA HTML - likely inactive account
bh70s,ACTIVE,,Known_Working,2025-06-20,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget-business/bh70s,,,,,
